Province,Year,Investment Value,Category
New Brunswick,2025,30.899999999999999,"Mining, quarrying, and oil and gas extraction"
New Brunswick,2026,23.600000000000001,"Mining, quarrying, and oil and gas extraction"
Newfoundland and Labrador,2022,"2,491.60","Mining, quarrying, and oil and gas extraction"
Newfoundland and Labrador,2023,"3,011.40","Mining, quarrying, and oil and gas extraction"
Newfoundland and Labrador,2024,"3,768.00","Mining, quarrying, and oil and gas extraction"
Newfoundland and Labrador,2025,"2,827.80","Mining, quarrying, and oil and gas extraction"
Newfoundland and Labrador,2026,"2,058.10","Mining, quarrying, and oil and gas extraction"
Northwest Territories,2022,x,"Mining, quarrying, and oil and gas extraction"
Northwest Territories,2023,172.1,"Mining, quarrying, and oil and gas extraction"
Northwest Territories,2024,239.1,"Mining, quarrying, and oil and gas extraction"
Northwest Territories,2025,67.6,"Mining, quarrying, and oil and gas extraction"
Northwest Territories,2026,34.3,"Mining, quarrying, and oil and gas extraction"
Nova Scotia,2022,45.4,"Mining, quarrying, and oil and gas extraction"
Nova Scotia,2023,x,"Mining, quarrying, and oil and gas extraction"
Nova Scotia,2024,x,"Mining, quarrying, and oil and gas extraction"
Nova Scotia,2025,x,"Mining, quarrying, and oil and gas extraction"
Nova Scotia,2026,61.5,"Mining, quarrying, and oil and gas extraction"
Nunavut,2022,797.5,"Mining, quarrying, and oil and gas extraction"
Nunavut,2023,x,"Mining, quarrying, and oil and gas extraction"
Nunavut,2024,x,"Mining, quarrying, and oil and gas extraction"
Nunavut,2025,"1,453.10","Mining, quarrying, and oil and gas extraction"
Nunavut,2026,x,"Mining, quarrying, and oil and gas extraction"
Ontario,2022,5000.3000000000002,"Mining, quarrying, and oil and gas extraction"
Ontario,2023,5157.5,"Mining, quarrying, and oil and gas extraction"
Ontario,2024,4356.6000000000004,"Mining, quarrying, and oil and gas extraction"
Ontario,2025,3975.3000000000002,"Mining, quarrying, and oil and gas extraction"
Ontario,2026,4930.6000000000004,"Mining, quarrying, and oil and gas extraction"
Prince Edward Island,2022,x,"Mining, quarrying, and oil and gas extraction"
Prince Edward Island,2023,x,"Mining, quarrying, and oil and gas extraction"
Prince Edward Island,2024,x,"Mining, quarrying, and oil and gas extraction"
Prince Edward Island,2025,x,"Mining, quarrying, and oil and gas extraction"
Prince Edward Island,2026,x,"Mining, quarrying, and oil and gas extraction"
Quebec,2022,"2,954.60","Mining, quarrying, and oil and gas extraction"
Quebec,2023,3469,"Mining, quarrying, and oil and gas extraction"
Quebec,2024,3856.3000000000002,"Mining, quarrying, and oil and gas extraction"
Quebec,2025,3633.3000000000002,"Mining, quarrying, and oil and gas extraction"
Quebec,2026,4546.6000000000004,"Mining, quarrying, and oil and gas extraction"
Saskatchewan,2022,"4,959.10","Mining, quarrying, and oil and gas extraction"
Saskatchewan,2023,"6,507.80","Mining, quarrying, and oil and gas extraction"
Saskatchewan,2024,"6,688.00","Mining, quarrying, and oil and gas extraction"
Saskatchewan,2025,8095.1999999999998,"Mining, quarrying, and oil and gas extraction"
Saskatchewan,2026,8018.6999999999998,"Mining, quarrying, and oil and gas extraction"
Yukon,2022,x,"Mining, quarrying, and oil and gas extraction"
Yukon,2023,x,"Mining, quarrying, and oil and gas extraction"
Yukon,2024,x,"Mining, quarrying, and oil and gas extraction"
Yukon,2025,x,"Mining, quarrying, and oil and gas extraction"
Yukon,2026,60.5,"Mining, quarrying, and oil and gas extraction"
Alberta,2022,"6,392.70",Utilities
Alberta,2023,"6,615.40",Utilities
Alberta,2024,6715.3000000000002,Utilities
Alberta,2025,"5,084.50",Utilities
Alberta,2026,5918.1000000000004,Utilities
British Columbia,2022,6019.5,Utilities
British Columbia,2023,"6,087.90",Utilities
British Columbia,2024,6551.3999999999996,Utilities
British Columbia,2025,7839.1000000000004,Utilities
British Columbia,2026,7618.3999999999996,Utilities
Manitoba,2022,810.5,Utilities
Manitoba,2023,865.1,Utilities
Manitoba,2024,"1,010.00",Utilities
Manitoba,2025,1110.5999999999999,Utilities
Manitoba,2026,1386.4000000000001,Utilities
New Brunswick,2022,717.5,Utilities
New Brunswick,2023,577.3,Utilities
New Brunswick,2024,677.8,Utilities
New Brunswick,2025,882.20000000000005,Utilities
New Brunswick,2026,731.70000000000005,Utilities
Newfoundland and Labrador,2022,370.7,Utilities
Newfoundland and Labrador,2023,436.4,Utilities
Newfoundland and Labrador,2024,433.4,Utilities
Newfoundland and Labrador,2025,563.2,Utilities
Newfoundland and Labrador,2026,461.6,Utilities
Northwest Territories,2022,x,Utilities
Northwest Territories,2023,72.2,Utilities
Northwest Territories,2024,100,Utilities
Northwest Territories,2025,83.4,Utilities
Northwest Territories,2026,115.1,Utilities
Nova Scotia,2022,642.4,Utilities
Nova Scotia,2023,597.1,Utilities
Nova Scotia,2024,637.2,Utilities
Nova Scotia,2025,892.2,Utilities
Nova Scotia,2026,844.89999999999998,Utilities
Nunavut,2022,26.4,Utilities
Nunavut,2023,38.1,Utilities
Nunavut,2024,33.1,Utilities
Nunavut,2025,142,Utilities
Nunavut,2026,133.2,Utilities
Ontario,2022,12491.700000000001,Utilities
Ontario,2023,14875.6,Utilities
Ontario,2024,15722.799999999999,Utilities
Ontario,2025,18907.200000000001,Utilities
Ontario,2026,20667.400000000001,Utilities
Prince Edward Island,2022,100.5,Utilities
